Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	SignalP_secretion_signal
Q#389 - WP_228123345.1	specific	200482	237	593	0.0	702.438	cd11344	AmyAc_GlgE_like	 - 	cl38930	No
Q#389 - WP_228123345.1	specific	463388	2	232	5.39396e-78	247.462	pfam11896	GlgE_dom_N_S	 - 	cl13354	No
Q#389 - WP_228123345.1	superfamily	445893	601	677	0.00770408	35.6009	cl02706	Malt_amylase_C superfamily	 - 	 - 	No
Q#390 - WP_098026002.1	specific	200471	12	474	0.0	707.501	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#390 - WP_098026002.1	specific	432205	455	532	0.000111913	41.1563	pfam11941	DUF3459	 - 	cl02706	No
Q#391 - WP_175431878.1	specific	200471	18	492	0.0	743.71	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#391 - WP_175431878.1	specific	432205	473	548	5.10695e-05	42.3119	pfam11941	DUF3459	 - 	cl02706	No
Q#392 - WP_059141744.1	specific	274114	3	541	0.0	761.108	TIGR02402	trehalose_TreZ	 - 	cl38930	No
Q#393 - WP_076974050.1	specific	200471	23	495	0.0	817.283	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#393 - WP_076974050.1	specific	432205	477	557	9.21042e-06	44.2379	pfam11941	DUF3459	 - 	cl02706	No
Q#394 - WP_179083149.1	superfamily	442511	7	807	0.0	873.75	cl30295	TreY superfamily	 - 	 - 	No
Q#395 - WP_030549513.1	superfamily	274113	8	775	0.0	809.323	cl30297	trehalose_TreY superfamily	 - 	 - 	No
Q#396 - WP_106980681.1	specific	441132	11	706	0.0	1330.86	COG1523	PulA	 - 	cl34294	No
Q#397 - WP_323376056.1	specific	441132	10	706	0.0	1330.48	COG1523	PulA	 - 	cl34294	No
Q#398 - WP_043226401.1	specific	441132	1	704	0.0	1298.89	COG1523	PulA	 - 	cl34294	No
Q#399 - WP_081522404.1	specific	200482	195	557	0.0	677.014	cd11344	AmyAc_GlgE_like	 - 	cl38930	No
Q#399 - WP_081522404.1	specific	463388	3	190	5.26802e-78	246.307	pfam11896	GlgE_dom_N_S	 - 	cl13354	No
Q#399 - WP_081522404.1	superfamily	440065	528	595	0.00217819	41.2768	cl43092	GlgB superfamily	N	 - 	No
Q#399 - WP_081522404.1	superfamily	445893	564	641	0.0081119	35.6009	cl02706	Malt_amylase_C superfamily	 - 	 - 	No
Q#400 - WP_141301329.1	specific	200471	20	491	0.0	816.513	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#401 - WP_189306039.1	specific	200482	238	594	0.0	698.971	cd11344	AmyAc_GlgE_like	 - 	cl38930	No
Q#401 - WP_189306039.1	specific	463388	47	233	1.1842100000000001e-83	262.1	pfam11896	GlgE_dom_N_S	 - 	cl13354	No
Q#401 - WP_189306039.1	superfamily	445893	601	666	0.000105741	40.9937	cl02706	Malt_amylase_C superfamily	C	 - 	No
Q#402 - WP_185013229.1	specific	274140	22	568	0.0	1033.93	TIGR02456	treS_nterm	 - 	cl37116	No
Q#403 - WP_125056717.1	specific	200471	28	478	0.0	757.577	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#403 - WP_125056717.1	specific	432205	460	543	1.95468e-11	60.4163	pfam11941	DUF3459	 - 	cl02706	No
Q#404 - WP_210974634.1	specific	235445	83	806	0.0	1273.95	PRK05402	PRK05402	 - 	cl38930	No
Q#405 - WP_173310698.1	specific	200472	15	482	0.0	778.175	cd11333	AmyAc_SI_OligoGlu_DGase	 - 	cl38930	No
Q#405 - WP_173310698.1	specific	435493	489	561	2.79984e-08	51.0089	pfam16657	Malt_amylase_C	 - 	cl02706	No
Q#406 - WP_023538559.1	specific	274140	23	568	0.0	1013.9	TIGR02456	treS_nterm	 - 	cl37116	No
Q#407 - WP_084991403.1	specific	274114	2	544	0.0	817.732	TIGR02402	trehalose_TreZ	 - 	cl38930	No
Q#408 - WP_208853323.1	specific	274114	3	585	0.0	773.434	TIGR02402	trehalose_TreZ	 - 	cl38930	No
Q#409 - WP_051131151.1	specific	274114	2	544	0.0	727.981	TIGR02402	trehalose_TreZ	 - 	cl38930	No
Q#410 - WP_189818892.1	specific	200471	14	495	0.0	765.281	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#410 - WP_189818892.1	specific	432205	476	551	1.00968e-05	44.2379	pfam11941	DUF3459	 - 	cl02706	No
Q#411 - WP_189750171.1	specific	235445	28	738	0.0	1252.77	PRK05402	PRK05402	 - 	cl38930	No
Q#412 - WP_190010710.1	superfamily	274113	14	785	0.0	830.124	cl30297	trehalose_TreY superfamily	 - 	 - 	No
Q#413 - WP_067441853.1	superfamily	274113	11	780	0.0	891.756	cl30297	trehalose_TreY superfamily	 - 	 - 	No
Q#414 - WP_171152652.1	specific	441132	37	745	0.0	1169.46	COG1523	PulA	 - 	cl34294	No
Q#415 - WP_189745325.1	specific	200471	2	461	0.0	700.183	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#415 - WP_189745325.1	specific	432205	442	522	9.20863e-06	44.2379	pfam11941	DUF3459	 - 	cl02706	No
Q#416 - WP_020939633.1	specific	200471	23	495	0.0	793.786	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#416 - WP_020939633.1	specific	432205	477	557	1.91936e-05	43.4675	pfam11941	DUF3459	 - 	cl02706	No
Q#417 - WP_004954225.1	specific	441132	42	765	0.0	1186.41	COG1523	PulA	 - 	cl34294	No
Q#418 - WP_175434823.1	specific	274140	23	562	0.0	1038.55	TIGR02456	treS_nterm	 - 	cl37116	No
Q#419 - WP_059144783.1	specific	200471	12	470	0.0	667.441	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#419 - WP_059144783.1	specific	432205	453	530	7.99665e-05	41.5415	pfam11941	DUF3459	 - 	cl02706	No
Q#420 - WP_019057034.1	specific	235445	65	776	0.0	1276.65	PRK05402	PRK05402	 - 	cl38930	No
Q#421 - WP_241843516.1	specific	274140	23	568	0.0	1025.84	TIGR02456	treS_nterm	 - 	cl37116	No
Q#422 - WP_031179826.1	specific	200471	23	512	0.0	774.141	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#422 - WP_031179826.1	specific	432205	494	574	2.26451e-06	46.1639	pfam11941	DUF3459	 - 	cl02706	No
Q#423 - WP_010982745.1	specific	200486	15	449	0.0	721.401	cd11348	AmyAc_2	 - 	cl38930	No
Q#424 - WP_126916155.1	specific	274140	23	562	0.0	1030.47	TIGR02456	treS_nterm	 - 	cl37116	No
Q#425 - WP_030320478.1	specific	200482	195	558	0.0	680.096	cd11344	AmyAc_GlgE_like	 - 	cl38930	No
Q#425 - WP_030320478.1	specific	463388	2	190	8.05445e-75	238.217	pfam11896	GlgE_dom_N_S	 - 	cl13354	No
Q#425 - WP_030320478.1	superfamily	445893	566	642	4.08576e-06	44.8457	cl02706	Malt_amylase_C superfamily	 - 	 - 	No
Q#426 - WP_030584995.1	superfamily	442511	1	790	0.0	893.781	cl30295	TreY superfamily	 - 	 - 	No
Q#427 - WP_030549514.1	specific	441132	1	704	0.0	1280.01	COG1523	PulA	 - 	cl34294	No
Q#428 - WP_030341036.1	specific	200471	23	503	0.0	793.401	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#428 - WP_030341036.1	specific	432205	485	565	6.34052e-06	44.6231	pfam11941	DUF3459	 - 	cl02706	No
Q#429 - WP_043266187.1	specific	200482	195	556	0.0	669.31	cd11344	AmyAc_GlgE_like	 - 	cl38930	No
Q#429 - WP_043266187.1	specific	463388	3	190	2.31853e-73	234.365	pfam11896	GlgE_dom_N_S	 - 	cl13354	No
Q#429 - WP_043266187.1	superfamily	440065	527	598	0.000361377	43.588	cl43092	GlgB superfamily	N	 - 	No
Q#430 - WP_141203601.1	specific	200485	2	390	0.0	574.956	cd11347	AmyAc_1	 - 	cl38930	No
Q#430 - WP_141203601.1	superfamily	445893	397	476	0.000247182	39.4529	cl02706	Malt_amylase_C superfamily	 - 	 - 	No
Q#431 - WP_030019833.1	specific	200471	27	478	0.0	760.659	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#431 - WP_030019833.1	specific	432205	460	543	3.33581e-10	56.9495	pfam11941	DUF3459	 - 	cl02706	No
Q#432 - WP_063730878.1	superfamily	442511	7	795	0.0	841.394	cl30295	TreY superfamily	 - 	 - 	No
Q#433 - WP_145825171.1	specific	200471	5	478	0.0	739.473	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#433 - WP_145825171.1	specific	432205	459	535	2.77026e-05	42.6971	pfam11941	DUF3459	 - 	cl02706	No
Q#434 - WP_041131309.1	specific	274140	23	563	0.0	1010.44	TIGR02456	treS_nterm	 - 	cl37116	No
Q#435 - WP_206738395.1	specific	441132	1	716	0.0	1183.71	COG1523	PulA	 - 	cl34294	No
Q#436 - WP_076046348.1	specific	200475	22	639	0.0	761.647	cd11336	AmyAc_MTSase	 - 	cl38930	No
Q#437 - WP_073724014.1	specific	274140	23	562	0.0	1040.1	TIGR02456	treS_nterm	 - 	cl37116	No
Q#438 - WP_030579999.1	specific	441132	51	760	0.0	1152.51	COG1523	PulA	 - 	cl34294	No
Q#439 - WP_055626440.1	specific	441132	1	732	0.0	1257.29	COG1523	PulA	 - 	cl34294	No
Q#440 - WP_125624247.1	specific	200471	12	481	0.0	712.509	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#440 - WP_125624247.1	specific	432205	464	540	0.000355939	39.6155	pfam11941	DUF3459	 - 	cl02706	No
Q#441 - WP_069777446.1	specific	200471	12	477	0.0	677.456	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#442 - WP_223835680.1	specific	441132	23	704	0.0	988.418	COG1523	PulA	 - 	cl34294	No
Q#443 - WP_053134247.1	specific	200471	20	500	0.0	735.236	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#443 - WP_053134247.1	specific	432205	481	555	3.25319e-06	45.3935	pfam11941	DUF3459	 - 	cl02706	No
Q#444 - WP_074991089.1	specific	235445	21	734	0.0	1245.06	PRK05402	PRK05402	 - 	cl38930	No
Q#445 - WP_042173509.1	specific	200471	27	499	0.0	796.482	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#445 - WP_042173509.1	specific	432205	481	561	1.46643e-06	46.5491	pfam11941	DUF3459	 - 	cl02706	No
Q#446 - WP_053848064.1	specific	274140	23	561	0.0	1018.52	TIGR02456	treS_nterm	 - 	cl37116	No
Q#447 - WP_043444888.1	superfamily	274113	11	779	0.0	858.243	cl30297	trehalose_TreY superfamily	 - 	 - 	No
Q#448 - WP_078959699.1	specific	235445	196	920	0.0	1290.9	PRK05402	PRK05402	 - 	cl38930	No
Q#448 - WP_078959699.1	superfamily	369339	8	167	9.62229e-14	70.5778	cl22465	HC2 superfamily	C	 - 	No
Q#449 - WP_128978710.1	specific	235445	38	763	0.0	1249.3	PRK05402	PRK05402	 - 	cl38930	No
Q#450 - WP_148004396.1	specific	200471	20	491	0.0	796.868	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#451 - WP_184558815.1	specific	200471	23	495	0.0	814.587	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#451 - WP_184558815.1	specific	432205	477	557	0.000136071	40.7711	pfam11941	DUF3459	 - 	cl02706	No
Q#452 - WP_125504126.1	specific	274140	23	568	0.0	1033.16	TIGR02456	treS_nterm	 - 	cl37116	No
Q#453 - WP_030350710.1	superfamily	274113	3	783	0.0	903.312	cl30297	trehalose_TreY superfamily	 - 	 - 	No
Q#454 - WP_019885752.1	specific	200471	30	480	0.0	774.141	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#455 - WP_171151740.1	specific	441132	1	701	0.0	1318.15	COG1523	PulA	 - 	cl34294	No
Q#456 - WP_150473272.1	specific	274114	2	544	0.0	815.806	TIGR02402	trehalose_TreZ	 - 	cl38930	No
Q#457 - WP_097249161.1	superfamily	274113	6	777	0.0	922.186	cl30297	trehalose_TreY superfamily	 - 	 - 	No
Q#458 - WP_189298924.1	specific	441132	1	701	0.0	1286.95	COG1523	PulA	 - 	cl34294	No
Q#459 - WP_031020391.1	superfamily	274113	11	790	0.0	865.947	cl30297	trehalose_TreY superfamily	 - 	 - 	No
Q#460 - WP_197357099.1	specific	441132	1	618	0.0	1153.28	COG1523	PulA	 - 	cl34294	No
Q#461 - WP_261387077.1	superfamily	274140	22	259	1.01704e-166	471.926	cl37116	treS_nterm superfamily	C	 - 	No
Q#462 - WP_011030248.1	specific	200482	211	567	0.0	714.764	cd11344	AmyAc_GlgE_like	 - 	cl38930	No
Q#462 - WP_011030248.1	specific	463388	19	206	5.00365e-86	267.493	pfam11896	GlgE_dom_N_S	 - 	cl13354	No
Q#462 - WP_011030248.1	superfamily	445893	574	651	0.00334212	36.7565	cl02706	Malt_amylase_C superfamily	 - 	 - 	No
Q#463 - WP_210963008.1	superfamily	274113	23	799	0.0	900.23	cl30297	trehalose_TreY superfamily	 - 	 - 	No
Q#464 - WP_046087968.1	specific	200471	12	470	0.0	692.479	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#464 - WP_046087968.1	specific	432205	453	530	0.000258166	40.0007	pfam11941	DUF3459	 - 	cl02706	No
Q#465 - WP_147874081.1	specific	235445	8	743	0.0	1255.08	PRK05402	PRK05402	 - 	cl38930	No
Q#466 - WP_206300694.1	specific	235445	108	838	0.0	1262.01	PRK05402	PRK05402	 - 	cl38930	No
Q#467 - WP_099970599.1	specific	200482	249	605	0.0	693.193	cd11344	AmyAc_GlgE_like	 - 	cl38930	No
Q#467 - WP_099970599.1	specific	463388	56	244	2.41275e-74	237.832	pfam11896	GlgE_dom_N_S	 - 	cl13354	No
Q#468 - WP_107423710.1	specific	441132	11	706	0.0	1325.85	COG1523	PulA	 - 	cl34294	No
Q#469 - WP_189596421.1	specific	200471	11	476	0.0	720.983	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#469 - WP_189596421.1	specific	432205	457	534	6.0513e-09	53.0975	pfam11941	DUF3459	 - 	cl02706	No
Q#470 - WP_078913507.1	specific	235445	64	780	0.0	1285.9	PRK05402	PRK05402	 - 	cl38930	No
Q#471 - WP_103531456.1	superfamily	442511	1	792	0.0	890.699	cl30295	TreY superfamily	 - 	 - 	No
Q#472 - WP_233289485.1	specific	200473	10	460	0.0	693.924	cd11334	AmyAc_TreS	 - 	cl38930	No
Q#472 - WP_233289485.1	specific	435493	470	548	2.4475e-10	56.7869	pfam16657	Malt_amylase_C	 - 	cl02706	No
Q#473 - WP_190197635.1	specific	441132	1	708	0.0	1276.93	COG1523	PulA	 - 	cl34294	No
Q#474 - WP_197359188.1	superfamily	476817	1	355	0.0	611.53	cl38930	AmyAc_family superfamily	 - 	 - 	No
Q#474 - WP_197359188.1	superfamily	440065	315	414	0.0003408	43.2028	cl43092	GlgB superfamily	N	 - 	No
Q#475 - WP_016574144.1	specific	200482	195	556	0.0	666.999	cd11344	AmyAc_GlgE_like	 - 	cl38930	No
Q#475 - WP_016574144.1	specific	463388	3	190	1.64693e-75	239.758	pfam11896	GlgE_dom_N_S	 - 	cl13354	No
Q#475 - WP_016574144.1	superfamily	445893	561	640	0.00358337	36.7565	cl02706	Malt_amylase_C superfamily	 - 	 - 	No
Q#476 - WP_030256499.1	superfamily	476817	15	448	0.0	643.206	cl38930	AmyAc_family superfamily	 - 	 - 	No
Q#477 - WP_185941156.1	specific	441132	42	764	0.0	1149.05	COG1523	PulA	 - 	cl34294	No
Q#478 - WP_244410157.1	specific	235445	112	836	0.0	1248.53	PRK05402	PRK05402	 - 	cl38930	No
Q#478 - WP_244410157.1	superfamily	223065	2	117	0.00112675	42.7468	cl33729	PHA03378 superfamily	N	 - 	No
Q#479 - WP_094220670.1	specific	200482	245	601	0.0	699.356	cd11344	AmyAc_GlgE_like	 - 	cl38930	No
Q#479 - WP_094220670.1	specific	463388	54	240	1.81336e-74	238.217	pfam11896	GlgE_dom_N_S	 - 	cl13354	No
Q#479 - WP_094220670.1	superfamily	445893	608	685	6.67239e-05	41.7641	cl02706	Malt_amylase_C superfamily	 - 	 - 	No
Q#480 - WP_107498895.1	specific	274114	3	547	0.0	760.723	TIGR02402	trehalose_TreZ	 - 	cl38930	No
Q#481 - WP_030018230.1	specific	274140	23	562	0.0	1027.38	TIGR02456	treS_nterm	 - 	cl37116	No
Q#482 - WP_030743879.1	specific	200471	22	494	0.0	790.704	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#482 - WP_030743879.1	specific	432205	476	556	1.6069e-05	43.4675	pfam11941	DUF3459	 - 	cl02706	No
Q#483 - WP_062667519.1	specific	200471	22	494	0.0	798.794	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#483 - WP_062667519.1	specific	432205	487	556	0.00023339	40.3859	pfam11941	DUF3459	 - 	cl02706	No
Q#484 - WP_208643315.1	specific	441132	37	746	0.0	1169.08	COG1523	PulA	 - 	cl34294	No
Q#485 - WP_217214142.1	specific	441132	36	745	0.0	1166.38	COG1523	PulA	 - 	cl34294	No
Q#486 - WP_161366598.1	specific	441132	13	706	0.0	1323.16	COG1523	PulA	 - 	cl34294	No
Q#487 - WP_045948387.1	specific	441132	1	702	0.0	1259.21	COG1523	PulA	 - 	cl34294	No
Q#488 - WP_128981140.1	specific	441132	1	704	0.0	1284.25	COG1523	PulA	 - 	cl34294	No
Q#489 - WP_228430180.1	specific	441132	1	743	0.0	1257.29	COG1523	PulA	 - 	cl34294	No
Q#490 - WP_030045607.1	specific	441132	1	703	0.0	1274.62	COG1523	PulA	 - 	cl34294	No
Q#491 - WP_106960534.1	specific	441132	11	706	0.0	1321.62	COG1523	PulA	 - 	cl34294	No
Q#492 - WP_189298922.1	superfamily	274113	11	785	0.0	880.97	cl30297	trehalose_TreY superfamily	 - 	 - 	No
Q#493 - WP_150231818.1	specific	274140	23	562	0.0	1009.28	TIGR02456	treS_nterm	 - 	cl37116	No
Q#494 - WP_171150922.1	specific	200471	12	467	0.0	684.775	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#494 - WP_171150922.1	specific	432205	459	532	0.000577427	39.2303	pfam11941	DUF3459	 - 	cl02706	No
Q#495 - WP_031012669.1	specific	200471	20	486	0.0	801.49	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#496 - WP_093473833.1	specific	274114	2	544	0.0	810.413	TIGR02402	trehalose_TreZ	 - 	cl38930	No
Q#497 - WP_190903169.1	specific	441132	1	722	0.0	1276.16	COG1523	PulA	 - 	cl34294	No
Q#498 - WP_089510615.1	specific	200471	12	470	0.0	680.152	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#498 - WP_089510615.1	specific	432205	453	530	0.000243472	40.0007	pfam11941	DUF3459	 - 	cl02706	No
Q#499 - WP_078644393.1	specific	441132	58	796	0.0	1179.09	COG1523	PulA	 - 	cl34294	No
Q#500 - WP_037638005.1	specific	200482	200	556	0.0	710.527	cd11344	AmyAc_GlgE_like	 - 	cl38930	No
Q#500 - WP_037638005.1	specific	463388	8	195	6.10052e-80	251.699	pfam11896	GlgE_dom_N_S	 - 	cl13354	No
Q#501 - WP_189595770.1	specific	200471	27	499	0.0	819.594	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#501 - WP_189595770.1	specific	432205	481	561	2.36593e-06	45.7787	pfam11941	DUF3459	 - 	cl02706	No
Q#502 - WP_210974591.1	specific	441132	1	700	0.0	1295.04	COG1523	PulA	 - 	cl34294	No
Q#503 - WP_200717595.1	specific	200471	11	488	0.0	760.274	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#503 - WP_200717595.1	specific	432205	473	548	1.97281e-05	43.4675	pfam11941	DUF3459	 - 	cl02706	No
Q#504 - WP_030584977.1	specific	274114	2	544	0.0	810.799	TIGR02402	trehalose_TreZ	 - 	cl38930	No
Q#505 - WP_031005261.1	specific	274114	3	545	0.0	786.531	TIGR02402	trehalose_TreZ	 - 	cl38930	No
Q#506 - WP_069744450.1	specific	441132	52	760	0.0	1150.59	COG1523	PulA	 - 	cl34294	No
Q#507 - WP_161365755.1	specific	274114	2	544	0.0	821.584	TIGR02402	trehalose_TreZ	 - 	cl38930	No
Q#508 - WP_346345386.1	specific	200471	15	496	0.0	765.666	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#508 - WP_346345386.1	specific	432205	477	551	2.8403e-07	48.4751	pfam11941	DUF3459	 - 	cl02706	No
Q#509 - WP_184564015.1	specific	200471	18	492	0.0	739.858	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#509 - WP_184564015.1	specific	432205	473	547	1.37526e-06	46.5491	pfam11941	DUF3459	 - 	cl02706	No
Q#510 - WP_030265053.1	specific	200471	12	494	0.0	721.754	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#510 - WP_030265053.1	superfamily	445893	475	549	0.0022069	37.3043	cl02706	Malt_amylase_C superfamily	 - 	 - 	No
Q#511 - WP_093724174.1	specific	441132	34	744	0.0	1177.17	COG1523	PulA	 - 	cl34294	No
Q#512 - WP_317454151.1	specific	441132	13	706	0.0	1315.07	COG1523	PulA	 - 	cl34294	No
Q#513 - WP_078900977.1	specific	200471	33	510	0.0	801.49	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#513 - WP_078900977.1	specific	432205	494	568	4.78349e-07	48.0899	pfam11941	DUF3459	 - 	cl02706	No
Q#514 - WP_042148949.1	specific	441132	21	748	0.0	1154.82	COG1523	PulA	 - 	cl34294	No
Q#515 - WP_030808205.1	specific	441132	36	743	0.0	1152.9	COG1523	PulA	 - 	cl34294	No
Q#516 - WP_076975130.1	specific	200471	19	499	0.0	736.391	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#516 - WP_076975130.1	specific	432205	480	554	0.000147779	40.7711	pfam11941	DUF3459	 - 	cl02706	No
Q#517 - WP_153540045.1	specific	441132	21	708	0.0	1056.6	COG1523	PulA	 - 	cl34294	No
Q#518 - WP_078913946.1	specific	235445	131	854	0.0	1272.8	PRK05402	PRK05402	 - 	cl38930	No
Q#519 - WP_181797883.1	specific	200478	5	471	6.8236399999999995e-149	444.389	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	No
Q#519 - WP_181797883.1	specific	461022	676	772	9.65626e-31	116.316	pfam03714	PUD	 - 	cl47835	No
Q#519 - WP_181797883.1	specific	199215	783	875	2.62496e-29	112.426	cd10315	CBM41_pullulanase	 - 	cl47018	No
Q#519 - WP_181797883.1	superfamily	465594	892	949	2.31474e-10	58.7857	cl40248	Pullulanase_N2 superfamily	C	 - 	No
Q#519 - WP_181797883.1	specific	214749	480	557	0.000186398	41.0693	smart00632	Aamy_C	 - 	cl02706	No
Q#520 - WP_030118698.1	specific	200482	195	566	0.0	668.925	cd11344	AmyAc_GlgE_like	 - 	cl38930	No
Q#520 - WP_030118698.1	specific	463388	3	190	3.36422e-77	244.381	pfam11896	GlgE_dom_N_S	 - 	cl13354	No
Q#520 - WP_030118698.1	superfamily	445893	573	650	0.00708818	35.9861	cl02706	Malt_amylase_C superfamily	 - 	 - 	No
Q#521 - WP_150506996.1	specific	200456	15	356	1.28351e-174	491.693	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	No
Q#521 - WP_150506996.1	specific	214749	362	436	1.45116e-26	101.931	smart00632	Aamy_C	 - 	cl02706	No
Q#522 - WP_030828382.1	superfamily	274113	11	782	0.0	892.911	cl30297	trehalose_TreY superfamily	 - 	 - 	No
Q#523 - WP_094218852.1	specific	441132	21	708	0.0	1039.26	COG1523	PulA	 - 	cl34294	No
Q#524 - WP_125816163.1	specific	200482	195	557	0.0	677.4	cd11344	AmyAc_GlgE_like	 - 	cl38930	No
Q#524 - WP_125816163.1	specific	463388	3	190	5.398210000000001e-69	222.809	pfam11896	GlgE_dom_N_S	 - 	cl13354	No
Q#524 - WP_125816163.1	superfamily	440065	528	595	5.47686e-05	46.2844	cl43092	GlgB superfamily	N	 - 	No
Q#524 - WP_125816163.1	superfamily	445893	564	641	0.000864159	38.2973	cl02706	Malt_amylase_C superfamily	 - 	 - 	No
Q#525 - WP_128505170.1	superfamily	442511	9	855	0.0	924.212	cl30295	TreY superfamily	 - 	 - 	No
Q#526 - WP_194275448.1	specific	274114	2	544	0.0	811.954	TIGR02402	trehalose_TreZ	 - 	cl38930	No
Q#527 - WP_190902668.1	specific	441132	40	752	0.0	1155.59	COG1523	PulA	 - 	cl34294	No
Q#528 - WP_109163519.1	specific	441132	59	767	0.0	1149.82	COG1523	PulA	 - 	cl34294	No
Q#529 - WP_216717372.1	superfamily	274113	12	786	0.0	884.437	cl30297	trehalose_TreY superfamily	 - 	 - 	No
Q#530 - WP_055689543.1	specific	235445	1	626	0.0	1130.27	PRK05402	PRK05402	 - 	cl38930	No
Q#531 - WP_125503442.1	specific	441132	1	710	0.0	1287.72	COG1523	PulA	 - 	cl34294	No
Q#532 - WP_018492249.1	specific	274140	23	562	0.0	1029.31	TIGR02456	treS_nterm	 - 	cl37116	No
Q#533 - WP_055572754.1	specific	200471	1	442	0.0	672.063	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#533 - WP_055572754.1	specific	432205	423	497	3.55141e-05	42.3119	pfam11941	DUF3459	 - 	cl02706	No
Q#534 - WP_097216238.1	specific	200471	21	493	0.0	813.431	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#534 - WP_097216238.1	superfamily	445893	475	550	0.00962479	35.7635	cl02706	Malt_amylase_C superfamily	 - 	 - 	No
Q#535 - WP_007502267.1	specific	274114	2	544	0.0	811.569	TIGR02402	trehalose_TreZ	 - 	cl38930	No
Q#536 - WP_018383435.1	specific	235445	113	839	0.0	1277.42	PRK05402	PRK05402	 - 	cl38930	No
Q#536 - WP_018383435.1	superfamily	177464	1	56	0.00372413	40.2297	cl31817	PHA02682 superfamily	NC	 - 	No
Q#537 - WP_161369134.1	specific	200482	38	394	0.0	707.445	cd11344	AmyAc_GlgE_like	 - 	cl38930	No
Q#537 - WP_161369134.1	superfamily	463388	1	33	1.61337e-07	51.3956	cl13354	GlgE_dom_N_S superfamily	N	 - 	No
Q#537 - WP_161369134.1	superfamily	440065	368	432	0.000142192	44.3584	cl43092	GlgB superfamily	N	 - 	No
Q#537 - WP_161369134.1	superfamily	445893	401	478	0.000613405	38.2973	cl02706	Malt_amylase_C superfamily	 - 	 - 	No
Q#538 - WP_141207473.1	superfamily	274113	11	780	0.0	884.437	cl30297	trehalose_TreY superfamily	 - 	 - 	No
Q#539 - WP_190201378.1	superfamily	274140	1	457	0.0	877.541	cl37116	treS_nterm superfamily	 - 	 - 	No
Q#540 - WP_037906365.1	specific	200471	13	487	0.0	731.384	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#540 - WP_037906365.1	specific	432205	468	545	0.000342954	39.6155	pfam11941	DUF3459	 - 	cl02706	No
Q#541 - WP_094222213.1	specific	441132	11	706	0.0	1313.53	COG1523	PulA	 - 	cl34294	No
Q#542 - WP_202201824.1	specific	200471	19	468	0.0	754.496	cd11332	AmyAc_OligoGlu_TS	 - 	cl38930	No
Q#542 - WP_202201824.1	specific	432205	450	527	7.99395e-08	50.0159	pfam11941	DUF3459	 - 	cl02706	No
Q#543 - WP_185941148.1	specific	235445	44	773	0.0	1233.12	PRK05402	PRK05402	 - 	cl38930	No
Q#544 - WP_217236223.1	specific	441132	12	706	0.0	1323.54	COG1523	PulA	 - 	cl34294	No
